Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_100,EMA_20,EMA_50,EMA_100
2020-01-02,72.79600525,72.85659789,71.54537217,71.79985832,135480400,,,,72.79600525,72.79600525,72.79600525
2020-01-03,72.08827972,72.85174557,71.86287686,72.02041626,146322800,,,,72.72860281857142,72.76825130764706,72.7819908830693
2020-01-06,72.66272736,72.70150755,70.95401701,71.20608459,118387200,,,,72.72232896537413,72.76411311362169,72.77962922914713
2020-01-07,72.32097626,72.92932151,72.1004181,72.67240923,108872000,,,,72.68410489819566,72.7467351977934,72.77054699213433
2020-01-08,73.48435974,73.78732306,72.02286498,72.02286498,132079200,,,,72.76031964503417,72.77566165042894,72.78468189803266
2020-01-09,75.04521179,75.23910532,74.21388239,74.46594249,170108400,,,,72.9779284207452,72.86466361668663,72.82944486619043
2020-01-10,75.21487427,75.78202805,74.71074661,75.28031907,140644800,,,,73.19097088257898,72.95682874034598,72.87668109200844
2020-01-13,76.8217926,76.84845722,75.41361984,75.53238648,121532000,,,,73.53676342709527,73.1083959505285,72.95480211196866
2020-01-14,75.78444672,76.96964265,75.66084272,76.75878138,161954400,,,,73.75082850260999,73.21333911795877,73.01083467846433
2020-01-15,75.45965576,76.46791827,75.02581035,75.58326712,121923600,,,,73.91357395569476,73.30142996666628,73.0593261850294
2020-01-16,76.40491486,76.51641067,75.64144885,76.0050048,108829200,,,,74.15084451800954,73.42313525660093,73.1255754657219
2020-01-17,77.25079346,77.25321213,76.34674835,76.65455638,137816400,,,,74.44607775058006,73.57323949987149,73.20726295075711
2020-01-21,76.72728729,77.32109102,76.58913423,76.87755593,110843200,,,,74.6633358019534,73.69692764850399,73.27696640301934
2020-01-22,77.00115204,77.55617546,76.90662394,77.21443198,101832400,,,,74.88598496748165,73.82650507562147,73.35071265325658
2020-01-23,77.37197113,77.45195018,76.50428022,77.05446623,104472000,,,,75.12274555438816,73.9655429601069,73.43034153398416
2020-01-24,77.14899445,78.36569234,76.95751958,77.61919406,146537600,,,,75.31572163968454,74.09038419500467,73.50397822539041
2020-01-27,74.88040161,75.5638811,73.89395147,75.14942943,161940000,,,,75.27426258923839,74.12136527010253,73.53123413399655
2020-01-28,76.99871826,77.17079932,75.66567993,75.76505277,162234000,,,,75.43849646264427,74.23420264225537,73.59989718599662
2020-01-29,78.61049652,79.46121988,77.89308146,78.63716114,216229200,,,,75.74059170620195,74.40582201001006,73.69911697478877
2020-01-30,78.4965744,78.54989624,77.25563797,77.68948346,126743200,75.62848167450001,,,76.00306624846843,74.5662436723626,73.79411613172364
2020-01-31,75.01611328,78.20812937,74.72042091,77.78398089,199588400,75.739487076,,,75.90907072766191,74.58388561776015,73.81831409505584
2020-02-03,74.81013489,75.98078202,73.24926712,73.75339488,173788400,75.8755798345,,,75.80441017169412,74.59275813824014,73.83795411079731
2020-02-04,77.27987671,77.47135158,76.01470173,76.42188261,136616400,76.106437302,,,75.94493079438992,74.6981353371327,73.90611099394984
2020-02-05,77.91004944,78.71229571,77.30412281,78.41175107,118826800,76.385890961,,,76.13208495111469,74.8240927529314,73.98539690377261
2020-02-06,78.82133484,78.82376091,77.6216049,78.18148035,105425600,76.652739716,,,76.38820398815139,74.98084734458115,74.08115805102463
2020-02-07,77.74994659,78.56867278,77.2567669,78.31843889,117684000,76.787976456,,,76.51789375975602,75.08943947185249,74.15380732902413
2020-02-10,78.11924744,78.11924744,76.24856854,76.32873743,109348800,76.9331951145,,,76.67040363406497,75.20825547060338,74.23233089557812
2020-02-11,77.64792633,78.69016619,77.42927653,78.6172854,94323200,76.974501801,,,76.76350103367783,75.30392883763854,74.29996644873498
2020-02-12,79.49187469,79.49673094,78.09979249,78.09979249,113730400,77.1598731995,,,77.02334614380375,75.46816200831938,74.40277651291845
2020-02-13,78.92581177,79.25379013,78.55653677,78.76061038,94747600,77.333181,,,77.20453334629863,75.60375611662059,74.49234156751412
2020-02-14,78.94525146,79.19548538,78.43506373,78.8942275,80113600,77.46019783,,,77.370316023794,75.73479514969428,74.5805180010287
2020-02-18,77.4997406,77.68195002,76.43320456,76.61541398,152531200,77.472645187,,,77.38264217390886,75.8040086967651,74.63832438912713
2020-02-19,78.62212372,78.85292521,77.74266105,77.74266105,93984000,77.56738700849999,,,77.50068803544134,75.91452301140176,74.71721150458997
2020-02-20,77.81555176,78.87236767,77.30779583,78.38161973,100566000,77.60810699449999,,,77.53067505682789,75.98907315840562,74.77856477697433
2020-02-21,76.05419159,77.85199672,75.43468267,77.40740169,129554000,77.5422180175,,,77.39005758379666,75.99162682238972,74.80382471386594
2020-02-24,72.44158173,73.89925662,70.26722112,72.21807573,222195200,77.3068473815,,,76.91877416914937,75.85240936778621,74.75704762507651
2020-02-25,69.98784637,73.49841733,69.51410635,73.1145661,230673600,77.0622196195,,,76.25868580732562,75.62242650512792,74.66260799626312
2020-02-26,71.09809875,72.36870817,69.60398332,69.6112714,198054800,76.767188644,,,75.76720132567556,75.44500188727976,74.59202365475296
2020-02-27,66.45054626,69.48251314,66.31449718,68.29207996,320605600,76.159191131,,,74.87990084323027,75.09227813719036,74.43080628059944
2020-02-28,66.41168213,67.63856327,62.284034,62.5002594,426510000,75.55494651749999,,,74.07340382292263,74.75186260749662,74.27201174296381
2020-03-02,72.59465027,73.23359905,67.47092308,68.57875559,341397200,75.433873367,,,73.9325701512157,74.66726604524186,74.23879666429126
2020-03-03,70.28908539,73.85552819,69.43391137,73.77535934,319475600,75.207820892,,,73.58557160252849,74.49557268621277,74.16058455984984
2020-03-04,73.54943085,73.70977601,71.21472458,72.01887482,219178400,75.021298599,,,73.5821296260972,74.45846908479265,74.14848250618944
2020-03-05,71.16370392,72.77442873,70.7968533,71.79535722,187572800,74.683981323,,,73.35180336837367,74.32926260774197,74.08937797973024
2020-03-06,70.21864319,70.65351836,68.3236684,68.51073405,226176800,74.2538467405,,,73.0534071609095,74.16806184626189,74.01272976607221
2020-03-09,64.66488647,67.56079624,63.89474503,64.07695438,286744800,73.5995937345,,,72.25450042844193,73.79538830209476,73.8276239582292
2020-03-10,69.32216644,69.58940835,65.44232101,67.33001496,285290000,73.15973968450001,,,71.97523052478078,73.61996783691458,73.73840697767021
2020-03-11,66.91457367,68.32123222,66.04725521,67.39075287,255598800,72.6230720515,,,71.49326320527786,73.35701120291793,73.60328156563713
2020-03-12,60.30644226,65.59537401,60.25056576,62.17955624,418474000,71.66380043,,,70.42785168667996,72.8452241855486,73.33997781701065
2020-03-13,67.53166199,68.00540939,61.45315544,64.35393335,370732000,71.09409294100001,74.2044761658,,70.15202409651997,72.63684919748788,73.22496166202033
2020-03-16,58.84392166,62.94241365,58.30700965,58.78075336,322423600,70.08902645100001,73.925434494,,69.07506195970855,72.0959500783707,72.9401885926734
2020-03-17,61.43129349,62.58528268,57.91829454,60.13153159,324056000,69.2856040955,73.7122947694,,68.3470840102125,71.67772825137578,72.71228967974916
2020-03-18,59.92744446,60.73645448,57.60731116,58.2511198,300233600,68.3508701325,73.4575891114,,67.54521357685893,71.21693280857673,72.45912442787295
2020-03-19,59.46828461,61.42642756,58.94109256,60.10237342,271857200,67.433506775,73.2005352784,,66.77598224668189,70.75620150667177,72.20188007504379
2020-03-20,55.69290543,61.18105104,55.39165125,60.05135066,401693200,66.415442467,72.84470619220001,,65.72045112128362,70.16548401346896,71.87496968603303
2020-03-23,54.509758,55.51312552,51.6527162,55.41108871,336752800,65.5188512805,72.4339971164,,64.65276606211376,69.55153397372509,71.53110410809177
2020-03-24,59.97846603,60.17525156,56.92220713,57.42267494,287531200,65.0183822635,72.1292689516,,64.20759463048387,69.1761195445594,71.30233899763451
